CNPJ; PROCESSO SEI; SITUAÇÃO DA CERTIFICAÇÃO                                 ;Unnamed: 3; Nº DA PORTARIA ;DATA DA PORTARIA;DATA DA PUBLICAÇÃO ; INICIO DA VALIDADE ;FIM DA VALIDADE
58.250.267/0001-17;00000.058245/2013-59;1;COM CEBAS;757;2017-07-20 00:00:00;2017-07-21 00:00:00;2017-07-21 00:00:00;2020-07-20 00:00:00
58.224.692/0001-31;23000.008151/2015-04;1;COM CEBAS;362;2022-01-26 00:00:00;2022-01-27 00:00:00;2022-01-27 00:00:00;2025-01-26 00:00:00
58.251.711/0001-19;23000.009842/2012-74;1;COM CEBAS;1208;2021-11-05 00:00:00;2021-11-08 00:00:00;2021-11-08 00:00:00;2025-12-31 00:00:00
58.269.515/0001-71;23000.012440/2017-61;1;COM CEBAS;363;2019-08-05 00:00:00;2019-08-08 00:00:00;2019-08-08 00:00:00;2023-12-31 00:00:00
58.218.215/0001-63;23000.014002/2017-38;1;COM CEBAS;94;2019-02-21 00:00:00;2019-02-22 00:00:00;2019-02-22 00:00:00;2023-12-31 00:00:00
58.222.910/0001-07;23000.038940/2018-12;1;COM CEBAS;378;2021-04-19 00:00:00;2021-04-20 00:00:00;2021-04-20 00:00:00;2025-12-31 00:00:00
62.292.420/0001-46;23000.021090/2019-96;1;COM CEBAS;395;2022-01-28 00:00:00;2022-01-31 00:00:00;2019-10-11 00:00:00;2022-10-10 00:00:00
64.715.899/0001-01;23000.019442/2020-87;1;COM CEBAS;523;2022-03-10 00:00:00;2022-03-11 00:00:00;2020-07-18 00:00:00;2025-07-17 00:00:00
58.207.572/0001-26;23000.010015/2012-23;1;COM CEBAS;11;2019-12-18 00:00:00;2019-12-20 00:00:00;2013-01-01 00:00:00;2015-12-31 00:00:00
57.734.915/0001-48;23000.031633/2020-17;1;COM CEBAS;558;2022-03-29 00:00:00;2022-03-30 00:00:00;2021-08-15 00:00:00;2026-08-14 00:00:00
58.222.878/0001-51;23000.048556/2017-39;1;COM CEBAS;219;2020-07-03 00:00:00;2020-07-07 00:00:00;2020-07-07 00:00:00;2024-12-31 00:00:00
58.257.023/0001-66;23000.051369/2016-51;1;COM CEBAS;105;2021-02-04 00:00:00;2021-02-05 00:00:00;2021-02-05 00:00:00;2025-12-31 00:00:00
23.400.953/0001-42;23000.023641/2020-90;1;COM CEBAS;599;2022-04-14 00:00:00;2022-04-18 00:00:00;2022-04-18 00:00:00;2025-04-17 00:00:00
58.191.008/0001-62;23000.025731/2015-58;1;COM CEBAS;360;2022-01-26 00:00:00;2022-01-27 00:00:00;2016-01-01 00:00:00;2018-12-31 00:00:00
