cnpj;cd_qualificacao;des_qualificacao
58198524000119;2;UPF
52256054000116;1;OSCIP
52246451000107;2;UPF
60015070000145;2;UPF
58207572000126;2;UPF
64042740000173;2;UPF
58269515000171;2;UPF
58198227000173;2;UPF
58258633000184;2;UPF
58149030000144;2;UPF
58238866000115;2;UPF
66505017000109;2;UPF
58228453000150;2;UPF
68011865000197;2;UPF
68025576000147;;
58250267000117;2;UPF
71545636000167;1;OSCIP
51642288000139;2;UPF
11043826000154;1;OSCIP
58413451000130;1;OSCIP
58218207000117;2;UPF
10227433000138;1;OSCIP
58224692000131;2;UPF
58222910000107;2;UPF
71550222000126;2;UPF
58191008000162;2;UPF
71554695000100;1;OSCIP
68018050000130;2;UPF
58218215000163;2;UPF
58247503000146;2;UPF
46170494000153;2;UPF
55674782000136;2;UPF
64715899000101;2;UPF
58251711000119;2;UPF
55674030000175;2;UPF
15321633000179;1;OSCIP
15699589000135;1;OSCIP
58257023000166;2;UPF
58194622000188;2;UPF
58259433000146;2;UPF
11061995000117;2;UPF
58225905000140;2;UPF
58230293000183;2;UPF
58198128000191;2;UPF
58219551000120;2;UPF
54346127000196;1;OSCIP
58253667000186;2;UPF
58167032000166;2;UPF
55674980000108;2;UPF
22690069000127;2;UPF
46798492000103;2;UPF
58222878000151;2;UPF
58252602000116;2;UPF
58263898000170;2;UPF
58232521000154;2;UPF
46781142000134;2;UPF
58236456000135;2;UPF
62292420000146;2;UPF
62292073000151;2;UPF
